Nº,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region
1,Afghanistan,532.07,602.18,661.09,635.64,629.92,599.35,519.22,532.22,505.91,507.29,South Asia
2,Albania,4097.83,4439.89,4248.91,4415.60,4584.92,3953.61,4124.40,4542.76,5284.44,5323.18,Europe & Central Asia
3,Algeria,4480.72,5453.89,5574.51,5477.06,5466.33,4153.32,3918.94,4012.13,4080.91,3898.01,Middle East & North Africa
4,Angola,3641.44,4716.25,5245.02,5436.52,5625.74,4354.92,3676.83,4303.69,3620.59,2967.96,Sub-Saharan Africa
5,Antigua and Barbuda,13564.68,13295.36,13811.08,13392.22,13951.99,14696.89,15556.01,15655.22,16860.96,17195.46,Latin America & Caribbean
6,Argentina,10412.97,12787.81,13889.79,14488.83,13208.83,14895.32,12772.87,14618.33,11624.89,9890.31,Latin America & Caribbean
7,Armenia,3121.78,3417.17,3575.53,3732.04,3889.00,3529.03,3524.00,3868.91,4195.96,4604.77,Europe & Central Asia
8,Aruba,23468.60,24801.81,24236.81,24252.46,24572.15,24641.64,24075.52,24113.24,25194.84,25744.56,Latin America & Caribbean
9,Australia,56459.10,67209.13,68445.03,65174.97,61648.20,51483.95,51933.81,55967.93,56453.36,54348.23,East Asia & Pacific
10,Austria,46955.17,51452.28,48616.90,50747.40,51814.42,44267.80,45239.79,47440.20,51292.70,50380.28,Europe & Central Asia
11,Azerbaijan,5880.81,7242.81,7545.87,7926.09,7939.17,5300.14,3897.71,4217.65,4759.80,4813.67,Europe & Central Asia
12,Bahamas,29303.26,28906.97,30433.05,29669.94,30850.41,32154.95,32390.98,33543.00,34583.83,35664.02,Latin America & Caribbean
13,Bahrain,20827.72,24080.43,25434.45,25965.31,25398.32,22659.37,22641.28,24427.58,25419.50,25997.58,Middle East & North Africa
14,Bangladesh,762.80,841.32,861.72,958.05,1092.72,1220.76,1370.77,1530.12,1661.88,1816.04,South Asia
15,Barbados,16203.26,16599.01,16371.95,16556.10,16572.31,16589.45,16947.63,17423.25,17758.08,18139.48,Latin America & Caribbean
16,Belarus,6023.15,6472.74,6938.07,7977.15,8316.01,5941.24,5022.47,5757.29,6322.32,6658.06,Europe & Central Asia
17,Belgium,44448.17,47564.38,44824.16,46848.61,47897.04,41147.26,42090.68,44364.30,47631.45,46236.67,Europe & Central Asia
18,Belize,4270.94,4398.89,4468.71,4516.12,4633.07,4680.26,4696.43,4734.96,4700.92,4497.99,Latin America & Caribbean
19,Benin,1037.38,1130.08,1145.88,1251.25,1291.76,1076.91,1086.96,1136.14,1240.78,1218.21,Sub-Saharan Africa
20,Bhutan,2097.54,2511.44,2592.37,2609.76,2546.86,2784.44,2876.21,3157.11,3413.85,3356.78,South Asia
21,Bolivia,1994.91,2394.79,2664.57,2920.52,3096.84,3050.65,3094.99,3368.76,3565.50,3566.42,Latin America & Caribbean
22,Bosnia and Herzegovina,4633.86,5089.85,4773.16,5125.60,5319.32,4727.26,4994.06,5392.37,6073.93,6015.16,Europe & Central Asia
23,Botswana,6374.99,7503.96,7710.77,7007.26,7497.69,6538.62,6958.35,7585.49,7996.96,7772.67,Sub-Saharan Africa
24,Brazil,11333.02,13295.90,12424.95,12358.34,12175.68,8846.48,8757.30,9974.81,9043.24,8751.38,Latin America & Caribbean
25,Brunei,35437.22,47092.30,47772.21,44860.43,41947.16,31355.74,27318.05,28236.77,30668.37,29314.11,East Asia & Pacific
26,Bulgaria,6710.86,7829.10,7414.60,7672.58,7898.09,7077.44,7572.69,8378.95,9466.39,9772.15,Europe & Central Asia
27,Burkina Faso,648.36,751.04,758.48,787.48,793.05,653.39,687.48,738.01,820.53,774.70,Sub-Saharan Africa
28,Burundi,231.55,247.10,250.12,267.70,286.37,318.99,294.69,306.10,284.53,269.83,Sub-Saharan Africa
29,Cape Verde,3312.07,3672.56,3388.78,3557.84,3532.98,2996.38,3082.21,3239.04,3616.40,3601.68,Sub-Saharan Africa
30,Cambodia,781.91,877.64,951.08,1013.44,1093.80,1165.06,1270.98,1385.93,1504.26,1620.47,East Asia & Pacific
31,Cameroon,1282.37,1402.98,1357.15,1471.21,1552.47,1338.60,1377.85,1441.55,1555.67,1523.66,Sub-Saharan Africa
32,Canada,47627.34,52285.94,52744.00,52708.61,51020.84,43626.47,42382.73,45205.03,46391.05,46271.72,North America
33,Central African Republic,492.08,551.03,566.20,380.30,424.67,377.48,402.05,450.74,488.59,479.86,Sub-Saharan Africa
34,Chad,895.35,985.63,970.74,982.92,1024.84,776.10,700.56,671.18,713.03,685.68,Sub-Saharan Africa
35,Chile,12794.38,14611.03,15308.18,15804.81,14644.04,13571.92,13781.40,15037.65,15903.01,14772.11,Latin America & Caribbean
36,China,4499.79,5560.74,6306.66,7073.49,7694.15,8084.80,8119.62,8823.46,9919.81,10286.58,East Asia & Pacific
37,Colombia,6295.29,7274.74,7957.83,8108.77,7998.84,6088.68,5799.62,6327.39,6692.12,6423.18,Latin America & Caribbean
38,Comoros,1322.64,1450.16,1403.42,1500.73,1505.18,1231.14,1256.04,1300.57,1386.01,1362.42,Sub-Saharan Africa
39,"Congo, Dem. Rep.",288.02,334.39,368.39,398.63,425.33,435.98,409.05,407.70,495.64,508.95,Sub-Saharan Africa
40,"Congo, Rep.",3597.96,4175.34,4607.39,4559.72,4438.24,2873.72,2395.18,2555.44,3007.47,2745.80,Sub-Saharan Africa
41,Costa Rica,8264.20,9260.86,10054.53,10632.95,10679.13,11422.60,11779.24,11872.57,12123.96,12243.84,Latin America & Caribbean
42,Côte d'Ivoire,1650.96,1660.45,1686.73,1919.16,2115.19,1932.22,1971.62,2066.84,2254.10,2229.56,Sub-Saharan Africa
43,Croatia,13537.43,14565.41,13236.67,13641.24,13601.48,11781.78,12361.54,13410.79,14915.87,14853.02,Europe & Central Asia
44,Cyprus,31439.12,32819.46,28993.69,27601.69,26961.58,23354.31,24618.93,26474.53,28897.32,28049.01,Europe & Central Asia
45,Czech Republic,19983.58,21890.78,19880.90,20129.62,19915.38,17842.87,18597.21,20666.67,23459.70,23538.52,Europe & Central Asia
46,Denmark,58177.16,61864.09,58623.41,61325.58,62729.50,53478.50,54862.85,57302.17,61522.85,59770.32,Europe & Central Asia
47,Djibouti,1833.85,2011.15,2137.60,2235.73,2357.80,2516.86,2622.86,2696.36,2872.07,3103.02,Middle East & North Africa
48,Dominica,6975.99,7082.73,6870.30,7096.22,7402.80,7645.44,8135.09,7401.09,7541.63,8305.39,Latin America & Caribbean
49,Dominican Republic,5688.75,6063.35,6274.86,6413.93,6805.66,7139.51,7521.27,7874.94,8340.96,8595.61,Latin America & Caribbean
50,Ecuador,4633.25,5192.88,5664.89,6030.50,6347.00,6099.35,6046.30,6216.61,6318.48,6221.67,Latin America & Caribbean
51,Egypt,2922.80,3077.34,3379.01,3404.34,3520.36,3731.18,3653.66,2484.54,2577.27,3043.64,Middle East & North Africa
52,El Salvador,2983.23,3266.01,3428.41,3509.53,3589.04,3705.59,3805.99,3910.25,4067.66,4186.96,Latin America & Caribbean
53,Equatorial Guinea,17153.16,21480.00,21556.42,20252.75,19271.29,11217.98,9202.54,9624.53,10365.49,8689.95,Sub-Saharan Africa
54,Eritrea,501.42,642.50,693.80,596.75,786.54,603.19,655.42,557.86,580.84,566.73,Sub-Saharan Africa
55,Estonia,14816.06,17641.54,17544.54,19179.84,20387.09,17531.06,18444.69,20451.24,23181.22,23757.62,Europe & Central Asia
56,Ethiopia,324.28,361.83,493.32,535.26,613.10,702.77,777.29,829.31,852.01,960.76,Sub-Saharan Africa
57,Fiji,4004.67,4797.05,5017.72,5268.16,5611.18,5385.52,5620.61,6049.89,6222.57,6043.01,East Asia & Pacific
58,Finland,46647.00,51263.57,47850.56,50006.02,50434.79,42867.09,43865.76,46361.70,50074.88,48809.55,Europe & Central Asia
59,France,42178.58,45419.97,42372.07,44144.62,44616.46,37937.86,38348.51,40134.13,43083.48,41896.58,Europe & Central Asia
60,Gabon,8933.31,10893.46,9903.41,9760.75,9746.79,7453.11,7082.22,7370.34,8220.49,8111.34,Sub-Saharan Africa
61,Gambia,860.64,762.76,742.78,700.52,607.43,649.51,684.00,676.66,729.04,774.21,Sub-Saharan Africa
62,Georgia,3222.06,4003.47,4409.60,4622.97,4742.50,4017.62,4060.89,4358.59,4718.79,4765.08,Europe & Central Asia
63,Germany,42379.84,46697.52,43883.39,46299.23,48035.95,41107.22,42124.32,44537.10,47832.06,46472.62,Europe & Central Asia
64,Ghana,1745.56,2123.67,2184.41,2389.77,1962.66,1753.85,1941.46,2037.95,2216.84,2220.82,Sub-Saharan Africa
65,Greece,26970.95,25902.57,22172.41,21804.96,21726.92,18114.72,18110.70,18899.83,20317.88,19569.53,Europe & Central Asia
66,Grenada,7365.66,7410.48,7583.18,7956.06,8569.92,9333.27,9892.57,10439.93,10791.28,11193.46,Latin America & Caribbean
67,Guatemala,2836.01,3172.05,3267.78,3397.54,3632.03,3825.88,3982.17,4230.85,4235.78,4354.34,Latin America & Caribbean
68,Guinea,630.55,540.56,637.79,712.98,729.80,712.05,679.95,796.96,916.22,1012.50,Sub-Saharan Africa
69,Guinea-Bissau,644.34,775.21,688.50,711.93,712.83,707.90,748.09,864.14,866.45,810.56,Sub-Saharan Africa
70,Guyana,3837.30,4402.78,5360.28,5476.74,5402.70,5579.97,5796.82,6104.16,6120.54,6594.38,Latin America & Caribbean
71,Haiti,665.22,744.21,769.71,812.78,831.84,815.63,735.76,765.64,868.28,772.86,Latin America & Caribbean
72,Honduras,1891.16,2081.11,2144.37,2102.56,2206.06,2302.20,2342.02,2448.18,2479.07,2550.67,Latin America & Caribbean
73,Hong Kong,32421.36,34955.15,36623.74,38233.35,40185.30,42325.35,43491.30,46032.29,48313.86,48626.58,East Asia & Pacific
74,Hungary,13095.22,14130.74,12903.11,13665.26,14230.92,12634.92,12971.26,14442.80,16146.75,16469.61,Europe & Central Asia
75,Iceland,43080.60,47600.73,46073.94,49815.68,54527.56,52838.36,62004.70,72356.32,73868.07,67857.18,Europe & Central Asia
76,India,1384.17,1458.11,1443.88,1449.60,1573.88,1605.60,1732.05,1981.65,2005.86,2097.78,South Asia
77,Indonesia,3178.13,3688.53,3744.53,3684.00,3533.61,3367.69,3605.72,3885.46,3947.13,4196.67,East Asia & Pacific
78,Iran,6504.87,7680.86,5118.47,5152.04,5395.79,4723.48,5026.65,5289.80,5288.86,7009.76,Middle East & North Africa
79,Iraq,4473.71,5848.54,6692.58,7021.41,6704.31,5047.12,4842.55,5261.83,5919.21,5883.68,Middle East & North Africa
80,Ireland,48699.63,51846.76,48851.17,51446.10,55513.26,61850.64,62710.00,69869.54,79133.16,80504.40,Europe & Central Asia
81,Israel,30704.80,33681.15,32523.87,36332.09,37755.12,35828.17,37293.84,40491.33,41720.58,43603.01,Middle East & North Africa
82,Italy,35805.41,38273.82,34707.46,35398.24,35578.66,30213.10,30932.78,32367.09,34500.21,33159.07,Europe & Central Asia
83,Jamaica,4902.96,5338.57,5452.88,5235.07,5095.80,5193.26,5170.70,5406.56,5730.91,5826.09,Latin America & Caribbean
84,Japan,44673.61,48168.80,48632.90,40490.16,38156.33,34568.92,38772.33,38398.56,39150.28,40255.94,East Asia & Pacific
85,Jordan,3777.82,3897.61,3963.58,4100.94,4188.72,4218.83,4224.80,4273.90,4341.04,4425.69,Middle East & North Africa
86,Kazakhstan,9005.04,11552.57,12300.18,13789.17,12713.56,10435.17,7662.01,9186.71,9749.07,9750.16,Europe & Central Asia
87,Kenya,1036.26,1054.97,1248.07,1331.52,1451.57,1483.48,1561.86,1737.80,1888.20,2004.42,Sub-Saharan Africa
88,Kiribati,1518.57,1741.14,1798.26,1731.38,1655.86,1556.50,1598.88,1656.63,1718.78,1672.38,East Asia & Pacific
89,Korea,23085.40,25095.07,25466.76,27182.74,29249.58,28732.23,29286.64,31616.84,33422.94,31846.22,East Asia & Pacific
90,Kosovo,3290.46,3764.22,3582.01,3885.73,4098.92,3637.44,3766.22,4027.27,4432.56,4428.70,Europe & Central Asia
91,Kuwait,32216.41,41657.44,45726.19,44754.34,40278.04,27398.08,25267.15,27193.90,30442.12,28499.79,Middle East & North Africa
92,Kyrgyzstan,884.85,1131.47,1189.52,1295.22,1292.62,1132.84,1131.84,1254.51,1321.95,1323.46,Europe & Central Asia
93,Laos,1200.87,1412.04,1581.90,1830.51,1997.99,2130.63,2323.36,2452.97,2567.89,2660.75,East Asia & Pacific
94,Latvia,11241.33,13746.81,13787.03,14962.66,15704.81,13646.70,14091.38,15518.22,17747.00,17771.63,Europe & Central Asia
95,Lebanon,7761.64,7675.31,7952.15,7933.23,7687.93,7644.54,7626.30,7792.60,8012.54,7661.07,Middle East & North Africa
96,Lesotho,1241.58,1347.68,1287.29,1219.73,1274.29,1115.75,1130.72,1223.38,1215.15,1185.40,Sub-Saharan Africa
97,Liberia,550.36,640.71,707.71,777.48,777.02,764.41,772.39,754.66,731.32,693.82,Sub-Saharan Africa
98,Libya,11417.42,5402.25,12693.64,8282.15,3876.41,2723.36,2907.46,4685.07,6361.58,6055.46,Middle East & North Africa
99,Lithuania,11975.36,14354.89,14342.18,15709.86,16560.79,14256.28,15005.50,16876.66,19089.28,19482.14,Europe & Central Asia
100,Luxembourg,106177.00,117366.00,108050.50,114996.70,120449.70,102624.90,105364.00,108621.80,117859.70,115838.80,Europe & Central Asia
101,Macau,50921.11,65867.58,73937.75,84859.86,86997.50,70133.00,70379.10,77708.13,82535.64,79251.49,East Asia & Pacific
102,North Macedonia,4576.23,5097.26,4728.37,5239.65,5498.61,4860.42,5152.97,5462.38,6085.76,6109.02,Europe & Central Asia
103,Madagascar,471.96,531.27,518.16,541.07,530.86,467.24,476.23,515.94,528.48,525.30,Sub-Saharan Africa
104,Malawi,442.76,493.84,359.59,317.47,343.98,353.51,294.76,325.01,350.44,377.72,Sub-Saharan Africa
105,Malaysia,9047.20,10398.24,10806.84,10851.66,11165.26,9663.11,9523.30,9965.12,11077.43,11193.02,East Asia & Pacific
106,Maldives,8086.70,8078.30,8719.58,9766.24,10787.47,11781.03,12348.71,13150.46,14552.21,15504.71,South Asia
107,Mali,732.40,861.87,801.10,827.34,872.03,772.64,803.30,853.57,915.64,907.25,Sub-Saharan Africa
108,Malta,21842.06,23222.38,22674.79,24972.68,27080.10,25228.18,25891.09,28551.66,31023.60,30374.22,Middle East & North Africa
109,Marshall Islands,3064.31,3279.51,3427.48,3505.03,3435.91,3421.52,3703.56,3916.56,4055.98,4325.68,East Asia & Pacific
110,Mauritania,1715.92,2012.83,1946.08,2072.49,1826.78,1668.06,1690.81,1747.75,1775.32,1872.59,Sub-Saharan Africa
111,Mauritius,8000.38,9197.04,9291.24,9637.02,10151.73,9258.56,9681.42,10485.01,11205.90,11090.43,Sub-Saharan Africa
112,Mexico,9271.39,10203.40,10241.76,10725.19,10928.96,9616.67,8744.54,9287.84,9687.01,9862.44,Latin America & Caribbean
113,Micronesia,2887.35,3037.84,3201.40,3106.98,3126.55,3094.06,3249.57,3585.65,3928.14,4044.88,East Asia & Pacific
114,Moldova,2428.11,2930.06,3031.13,3307.35,3314.55,2715.78,2857.88,3478.52,4141.84,4458.19,Europe & Central Asia
115,Mongolia,2602.37,3702.36,4281.33,4293.83,4081.02,3842.54,3576.82,3595.38,4056.73,4201.82,East Asia & Pacific
116,Montenegro,6694.17,7327.25,6590.58,7189.05,7389.89,6517.42,7031.53,7800.27,8854.78,8825.69,Europe & Central Asia
117,Morocco,2896.56,3111.54,2979.74,3200.48,3259.72,2964.96,2995.68,3148.01,3348.14,3331.76,Middle East & North Africa
118,Mozambique,469.47,574.87,631.76,641.08,647.50,570.13,415.18,445.19,484.87,487.69,Sub-Saharan Africa
119,Myanmar,779.32,1092.84,1168.50,1196.79,1244.18,1223.74,1163.79,1177.08,1271.68,1299.22,East Asia & Pacific
120,Namibia,5410.98,5870.93,6038.86,5567.00,5560.17,5067.76,4621.90,5411.16,5609.91,5072.37,Sub-Saharan Africa
121,Nauru,4748.08,6529.40,9382.64,9103.52,8865.60,6994.05,7674.48,8152.26,9398.51,9365.10,East Asia & Pacific
122,Nepal,592.37,703.04,698.47,715.89,743.10,792.55,777.15,911.44,1033.91,1078.56,South Asia
123,Netherlands,51165.82,54342.11,50175.56,52276.99,53026.48,45302.80,46165.18,48799.87,53224.69,52646.19,Europe & Central Asia
124,New Zealand,33388.89,38109.67,39701.44,42075.42,44333.57,38281.72,39599.18,42526.11,42602.54,41666.64,East Asia & Pacific
125,Nicaragua,1506.07,1629.97,1734.79,1790.43,1916.77,2036.93,2099.58,2156.14,2022.14,1920.29,Latin America & Caribbean
126,Niger,477.26,512.50,530.08,552.58,564.74,484.22,497.96,517.79,572.69,553.92,Sub-Saharan Africa
127,Nigeria,2328.42,2543.50,2756.41,2998.07,3222.69,2718.59,2176.00,1968.56,2032.73,2229.85,Sub-Saharan Africa
128,Norway,87356.19,100197.17,101129.90,102576.68,96657.58,74115.16,70223.82,75306.67,81549.98,75294.43,Europe & Central Asia
129,Oman,19774.80,22726.64,23282.20,21920.15,21814.15,18243.81,16332.37,17045.15,19092.53,18198.31,Middle East & North Africa
130,Pakistan,1029.16,1216.75,1247.10,1263.59,1310.16,1422.92,1436.37,1544.17,1557.89,1348.68,South Asia
131,Palau,10044.33,10782.08,12013.09,12877.95,14039.66,15787.60,16600.92,16062.31,16264.86,16064.02,East Asia & Pacific
132,Palestine,2406.26,2710.93,2887.58,3119.76,3155.51,3082.92,3325.28,3405.02,3358.05,3426.21,Middle East & North Africa
133,Panama,8039.76,9314.69,10674.49,11841.89,12756.95,13606.60,14344.09,15182.28,15660.39,15834.04,Latin America & Caribbean
134,Papua New Guinea,2132.18,2552.04,2865.78,2800.17,2992.71,2742.92,2567.58,2755.49,2853.24,2884.33,East Asia & Pacific
135,Paraguay,4326.22,5295.44,5155.17,5905.73,6050.05,5353.06,5259.92,5609.85,5725.90,5233.39,Latin America & Caribbean
136,Peru,5055.04,5738.13,6400.40,6631.33,6565.41,6141.43,6173.16,6728.72,7003.52,6957.86,Latin America & Caribbean
137,Philippines,2237.16,2473.25,2721.25,2903.19,2995.50,3039.23,3107.65,3153.31,3279.52,3511.94,East Asia & Pacific
138,Poland,12601.79,13886.87,13158.23,13777.57,14342.75,12566.08,12427.71,13871.57,15460.78,15600.66,Europe & Central Asia
139,Portugal,22539.04,23213.13,20576.82,21653.50,22109.32,19252.02,19986.36,21482.86,23472.27,23132.46,Europe & Central Asia
140,Puerto Rico,26435.74,27278.85,27944.74,28513.15,28981.34,29755.35,30585.55,31590.97,31603.41,32595.17,Latin America & Caribbean
141,Qatar,69796.14,96827.86,101933.12,99180.39,93054.14,66346.96,57965.39,59127.49,66421.62,62918.85,Middle East & North Africa
142,Romania,8190.57,9081.72,8518.92,9537.82,10004.88,8950.46,9538.93,10776.67,12371.66,12887.06,Europe & Central Asia
143,Russia,11431.15,14306.43,15287.98,15928.70,14007.52,9257.93,8723.52,10723.99,11344.98,11601.42,Europe & Central Asia
144,Rwanda,614.80,677.60,732.08,733.79,751.99,759.76,759.49,784.14,795.76,816.36,Sub-Saharan Africa
145,Samoa,3566.51,3933.42,4022.10,4037.65,3937.71,4073.68,4081.70,4210.36,4192.59,4230.58,East Asia & Pacific
146,San Marino,60426.24,57512.89,50336.18,51986.53,51234.87,43068.69,44308.67,45887.69,49477.28,47621.71,Europe & Central Asia
147,Saudi Arabia,19163.34,23654.86,25208.16,24892.99,24929.32,21063.31,20288.92,21113.96,23538.93,23266.49,Middle East & North Africa
148,Senegal,1281.27,1373.28,1330.82,1376.09,1397.02,1219.37,1269.55,1361.22,1466.10,1445.88,Sub-Saharan Africa
149,Serbia,5673.62,6809.94,6012.63,6752.80,6598.94,5585.12,5756.38,6284.20,7246.19,7382.38,Europe & Central Asia
150,Seychelles,10805.10,11647.02,11999.90,14762.22,14701.37,14786.12,15209.81,16141.24,16535.81,17126.51,Sub-Saharan Africa
151,Sierra Leone,401.84,448.32,566.37,716.15,713.53,592.90,525.95,495.81,533.97,539.12,Sub-Saharan Africa
152,Singapore,47236.67,53891.46,55547.55,56967.43,57564.80,55645.61,56826.39,60912.73,66185.53,65233.88,East Asia & Pacific
153,Slovenia,23570.18,25156.14,22674.49,23516.53,24263.96,20898.91,21640.27,23498.09,26154.80,25992.07,Europe & Central Asia
154,Solomon Islands,1608.46,1951.49,2167.12,2286.04,2326.58,2231.83,2299.88,2375.04,2527.65,2493.52,East Asia & Pacific
155,Somalia,,,,,,,,,,,Sub-Saharan Africa
156,South Africa,7311.74,7997.07,7487.85,6824.45,6429.82,5731.72,5266.88,6119.89,6353.85,5977.95,Sub-Saharan Africa
157,South Sudan,,1644.74,1041.46,1337.23,1334.09,1245.68,286.21,277.69,359.06,368.84,Sub-Saharan Africa
158,Spain,30566.88,31676.69,28344.78,29084.96,29524.76,25764.22,26564.63,28272.99,30579.15,29993.06,Europe & Central Asia
159,Sri Lanka,2807.66,3212.76,3349.78,3608.29,3818.40,3842.25,3885.76,4076.75,4078.68,3852.48,South Asia
160,Sudan,1637.42,2034.46,1396.29,1462.58,1628.50,1698.08,1403.15,1126.55,849.85,771.81,Sub-Saharan Africa
161,Suriname,8224.07,8190.70,9194.15,9351.96,9379.00,8439.04,5435.12,5514.71,5871.20,6191.28,Latin America & Caribbean
162,Eswatini,4263.91,4603.20,4628.25,4326.00,4133.02,3779.60,3536.60,4072.02,4267.11,4113.89,Sub-Saharan Africa
163,Sweden,52658.79,60540.22,57816.02,60845.01,59704.81,51274.28,51590.47,53459.07,54295.73,51404.43,Europe & Central Asia
164,Switzerland,74886.77,88902.58,83959.83,85672.86,87157.84,82513.63,80628.39,80764.92,83158.27,82483.92,Europe & Central Asia
165,Syria,2806.69,,,,,,,,,,Middle East & North Africa
166,Tajikistan,738.29,834.52,949.65,1040.15,1105.20,919.07,795.98,800.80,825.77,873.50,Europe & Central Asia
167,Tanzania,732.32,768.16,867.86,970.35,1030.74,947.90,966.29,1002.87,1036.93,1079.68,Sub-Saharan Africa
168,Thailand,5076.34,5492.12,5860.58,6168.27,5951.88,5839.61,5995.08,6594.18,7293.83,7806.96,East Asia & Pacific
169,Timor-Leste,806.41,947.51,1013.04,1210.04,1232.46,1334.67,1358.20,1294.72,1237.10,1252.42,East Asia & Pacific
170,Togo,534.46,586.99,572.17,621.41,641.13,570.97,595.14,623.61,679.22,675.30,Sub-Saharan Africa
171,Tonga,3569.10,4014.77,4557.28,4386.11,4303.82,4298.22,4178.29,4577.00,4836.44,5150.55,East Asia & Pacific
172,Trinidad and Tobago,16957.43,19300.83,19157.45,20143.45,20270.96,18289.53,16182.78,16238.27,17130.24,17276.43,Latin America & Caribbean
173,Tunisia,4140.46,4256.84,4137.57,4198.85,4274.47,3829.50,3665.68,3451.72,3411.13,3292.59,Middle East & North Africa
174,Turkey,10533.45,11221.40,11637.92,12488.97,12079.29,10973.59,10891.19,10628.90,9506.84,9150.86,Europe & Central Asia
175,Turkmenistan,4439.20,5649.99,6675.28,7304.42,7962.37,6432.67,6412.14,6642.52,7064.74,7723.68,Europe & Central Asia
176,Tuvalu,3027.41,3641.58,3496.35,3450.94,3412.24,3238.99,3637.63,3945.59,4230.51,4308.85,East Asia & Pacific
177,Uganda,808.71,872.04,950.56,964.83,960.70,769.77,804.53,829.07,869.43,916.16,Sub-Saharan Africa
178,Ukraine,2982.81,3589.63,3872.53,3968.80,3053.61,2124.62,2200.00,2655.94,3118.52,3706.76,Europe & Central Asia
179,United Arab Emirates,35064.26,41194.73,42723.58,43197.43,43340.02,37380.57,36226.23,38031.54,40479.47,39179.88,Middle East & North Africa
180,United Kingdom,39478.53,42035.60,42467.11,43487.90,47454.22,44989.06,41193.64,40406.62,43114.24,42378.61,Europe & Central Asia
181,United States,48403.30,49829.06,51563.13,53071.82,55024.66,56848.51,58017.23,60105.85,63055.98,65253.52,North America
182,Uruguay,11859.90,14054.33,14961.68,16723.45,16572.36,15365.96,15139.12,17041.72,17064.60,16110.74,Latin America & Caribbean
183,Uzbekistan,1667.27,1941.69,2152.95,2300.78,2514.07,2621.98,2575.52,1810.26,1542.64,1741.70,Europe & Central Asia
184,Vanuatu,2841.25,3093.46,3067.75,3108.79,3110.71,2880.95,2929.52,3158.84,3252.06,3186.20,East Asia & Pacific
185,Venezuela,11158.18,12180.03,11993.39,8695.04,6747.67,10568.10,9092.02,4725.05,3404.43,2299.31,Latin America & Caribbean
186,Vietnam,1628.52,1928.27,2173.32,2344.15,2539.34,2555.54,2692.73,2928.88,3181.88,3416.23,East Asia & Pacific
187,Yemen,1266.79,1302.30,1367.72,1515.95,1574.25,1500.69,1061.84,891.89,762.14,713.07,Middle East & North Africa
188,Zambia,1456.16,1635.50,1724.71,1839.54,1727.03,1310.35,1252.70,1500.65,1519.45,1318.47,Sub-Saharan Africa
189,Zimbabwe,975.85,1131.84,1310.37,1421.55,1415.03,1425.01,1409.45,1516.28,1423.10,1254.49,Sub-Saharan Africa
